,dsm_load_1,dsm_load_43,dsm_load_53,dsm_load_55,dsm_load_76,dsm_load_77,dsm_load_88,dsm_load_109,dsm_load_113,dsm_load_115,dsm_load_121,dsm_load_122,dsm_load_124,dsm_load_127,dsm_load_0,dsm_load_5
2011-01-01 00:00:00,-0.0046608768147474,-0.0046382175428355,-0.0021190504035877,-0.0036363160193545,-0.0043330438666474,-0.0057466376641479,-0.0050826018365549,-0.0047702231195076,-0.0033086348529833,-0.0051919934496633,-0.0033651400096109,-0.007391051522669,-0.0005624583474527,-0.0051576935651188,-0.0942285333773255,-0.0147469833474355
2011-01-01 01:00:00,-0.0040906428394289,-0.0040282380875543,-0.0017887566429309,-0.0030695279472371,-0.0036654862841765,-0.0048866790830684,-0.0042340516039714,-0.003973825119487,-0.0027562518483102,-0.0043827238641494,-0.0028615618832478,-0.0061571011385388,-0.0004747886617867,-0.0043858678299461,-0.0817551411279739,-0.012585650334671
2011-01-01 02:00:00,-0.0038651461451214,-0.0037779847566499,-0.0016353510423544,-0.0028062820886721,-0.0033403959289919,-0.0044785561411036,-0.0037932940308266,-0.0035601566809342,-0.0024693307171418,-0.0040068569796305,-0.0026225715516642,-0.0055161573784571,-0.0004340703001828,-0.0040195713632866,-0.0766825093775653,-0.0115811331786965
2011-01-01 03:00:00,-0.0035858732186449,-0.0034974952537381,-0.0014903329037442,-0.0025574292158795,-0.0030270575507004,-0.0040793829289267,-0.00338345140915,-0.0031755031487176,-0.0022025343742599,-0.0036515406433738,-0.0023888220401121,-0.0049201697267761,-0.0003955782178542,-0.0036613074134544,-0.0709064026814179,-0.0105793242083256
2011-01-01 04:00:00,-0.0033098660757179,-0.0032295334734586,-0.001369810425798,-0.0023506111918693,-0.002769766980081,-0.0037416541121413,-0.0030726206718731,-0.0028837761913652,-0.0020001920614437,-0.0033562423744065,-0.0021910533934383,-0.0044681638313862,-0.0003635880048504,-0.0033581907308146,-0.0653515206348155,-0.0097151482234011
2011-01-01 05:00:00,-0.0032285737507895,-0.0031508021451817,-0.0013376649373907,-0.002295449146527,-0.0027082836582839,-0.0036577391912353,-0.003006628432189,-0.0028218398608061,-0.0019572329174331,-0.0032774810740786,-0.0021419141446728,-0.0043721988002297,-0.0003550556460839,-0.0032828758296726,-0.0636796393811181,-0.0094938562992104
2011-01-01 06:00:00,-0.0033931136785041,-0.003302469922674,-0.0013861692544625,-0.0023786831389214,-0.0027980622871534,-0.0037921379898931,-0.003072362926385,-0.0028835342870166,-0.0020000242761769,-0.003396323974696,-0.0022206159527628,-0.0044677890213492,-0.0003679301194699,-0.0034035007688995,-0.0666775312673321,-0.0098621082682357
2011-01-01 07:00:00,-0.0038809332704691,-0.0037921928531771,-0.0016185763019092,-0.002777496431994,-0.0032617008310274,-0.0044002794577033,-0.003633635121791,-0.0034103104715303,-0.0023653971319404,-0.0039657563326786,-0.0025767339654921,-0.0052839835311476,-0.0004296177903351,-0.0039493168649403,-0.0758016503090745,-0.0114221115315646
2011-01-01 08:00:00,-0.0041099642385178,-0.0040812483969815,-0.0018231467457519,-0.0031285417779528,-0.0036153838820733,-0.004866983046413,-0.0040546015419553,-0.0038054041291845,-0.0026394347635474,-0.004466984808711,-0.0028500281960983,-0.0058961472616155,-0.0004839168072846,-0.0043681903413949,-0.0802345182888354,-0.0125723722598009
2011-01-01 09:00:00,-0.0043018414659851,-0.0043597550181999,-0.0019973950698614,-0.0034275540011789,-0.0037961614480451,-0.0051705427025545,-0.0041019476695822,-0.0038498403451006,-0.0026702557983358,-0.004893919512982,-0.0030277879234183,-0.0059649973663339,-0.0005301674411814,-0.0046406396894508,-0.0838896958746562,-0.0133694810793987
2011-01-01 10:00:00,-0.0048299643773573,-0.0049568662138292,-0.0023349739441609,-0.0040068434160662,-0.0044318372482671,-0.0059762906220471,-0.0049438907064912,-0.0046400372303035,-0.0032183376992451,-0.0057210387269188,-0.0034996211448621,-0.0071893396550002,-0.000619770810432,-0.0053638105421046,-0.0947053444036924,-0.0154084025935056
2011-01-01 11:00:00,-0.0054848186554898,-0.0056014341896988,-0.0026615049825228,-0.0045671746113987,-0.0052111134052143,-0.0068966389352564,-0.0061500615857639,-0.0057720763707693,-0.0040035219686704,-0.0065210890746673,-0.0040385625419995,-0.0089433371941602,-0.0007064417588522,-0.0061898369683613,-0.1088858948979748,-0.0177170531742345
2011-01-01 12:00:00,-0.0058521210449349,-0.0059855003078492,-0.0028674152660018,-0.0049205191383135,-0.0056723097862607,-0.0074640802310227,-0.0068051686383561,-0.0063869202850716,-0.0044299787513073,-0.0070256003601144,-0.0043708471785274,-0.0098959850966082,-0.000761096408677,-0.0066991240490512,-0.117506025187108,-0.0191332372185867
2011-01-01 13:00:00,-0.0059842413966201,-0.0061152879708465,-0.0029267276838378,-0.0050222999618176,-0.0058126886234147,-0.0076507377128375,-0.006968586791053,-0.006540294693536,-0.0045363595013661,-0.0071709247395472,-0.0044801508438806,-0.0101336255857048,-0.0007768396701223,-0.0068666519408554,-0.1208620732041243,-0.0196009513067587
2011-01-01 14:00:00,-0.0058686729800118,-0.005934329635654,-0.0028088668713866,-0.0048200493878602,-0.0056610399117716,-0.0074323659797415,-0.0068352320918315,-0.0064151360268181,-0.0044495492376779,-0.0068821479529345,-0.0043522758152192,-0.0099397029680314,-0.0007455559414821,-0.0066706600324705,-0.1185363083909475,-0.0190380219127222
2011-01-01 15:00:00,-0.0056505523552353,-0.0056902723270888,-0.0026987277735148,-0.0046310493691393,-0.0054934341540047,-0.0071779387891259,-0.0067216026587552,-0.0063084903035945,-0.0043755795830225,-0.0066122905329628,-0.0042032872816259,-0.0097744645682185,-0.0007163217831657,-0.006442307809741,-0.1132636179398967,-0.0183641808226372
2011-01-01 16:00:00,-0.0053233176525153,-0.0053576449495972,-0.0025335852579487,-0.0043476628230651,-0.0051781081063834,-0.0067528235707904,-0.0063695884256302,-0.0059781110043207,-0.0041464279402385,-0.0062076664345322,-0.0039543465420974,-0.0092625701847106,-0.000672488098869,-0.0060607605199714,-0.105740867774091,-0.0172789266001438
2011-01-01 17:00:00,-0.0052549437449275,-0.0052863554353017,-0.0024907050095503,-0.0042740798002636,-0.0050833239426883,-0.006621581448244,-0.0062726979972205,-0.0058871754999232,-0.0040833549200285,-0.0061026033513572,-0.0038774932335476,-0.009121673421309,-0.0006611064188431,-0.0059429687449387,-0.1034459786059011,-0.0169608667387283
2011-01-01 18:00:00,-0.0057315932785923,-0.0057912551851476,-0.0027774403110838,-0.0047661210318055,-0.0056598112667581,-0.0073695257247,-0.0069917953738521,-0.0065620768676664,-0.0045514676543175,-0.0068051481350154,-0.0043154775570354,-0.0101673751959935,-0.0007372144073949,-0.0066142599602892,-0.1135817259211897,-0.0188268152286804
2011-01-01 19:00:00,-0.0065917775632118,-0.0067160546847439,-0.0032796243036485,-0.0056278748125249,-0.0066110710646364,-0.0086458372174691,-0.0080696216549667,-0.0075736595196868,-0.0052531030988862,-0.0080355747428523,-0.0050628653549192,-0.0117347357393495,-0.0008705088198812,-0.0077597686834876,-0.1321807147801332,-0.0220451110369942
2011-01-01 20:00:00,-0.0071144965670368,-0.0072686201295616,-0.0035488312772699,-0.0060898372222174,-0.0070749746654967,-0.0092774145780688,-0.0085716166828356,-0.008044801734801,-0.0055798881390375,-0.0086951724764783,-0.0054327070553239,-0.0124647301859768,-0.0009419642742911,-0.0083266188450982,-0.141899924065758,-0.0236890114667683
2011-01-01 21:00:00,-0.0068628062036521,-0.0069709535277402,-0.0033784813513394,-0.0057975146972278,-0.0068059319201263,-0.0088940176665932,-0.0083246518443219,-0.0078130154528399,-0.0054191207804199,-0.0082777894363748,-0.0052081958956215,-0.0121055972252528,-0.0008967483900132,-0.00798251436196,-0.1365837785643497,-0.0227115116753731
2011-01-01 22:00:00,-0.006007721582195,-0.0060633642961019,-0.0029096780409143,-0.0049930425691751,-0.0059503056101987,-0.0077416610436879,-0.0073664305576042,-0.0069136868250041,-0.0047953449175729,-0.0071291505400152,-0.004533394106521,-0.0107121646629554,-0.0007723141930656,-0.0069482569951242,-0.1198481784463086,-0.0197665095137855
2011-01-01 23:00:00,-0.0051897845875146,-0.005199323962398,-0.0024332328258361,-0.0041754568406806,-0.0049697633605742,-0.0065200783322841,-0.0060127374051149,-0.0056431921885207,-0.0039141276810863,-0.0059617878233845,-0.0038180546162935,-0.0087436422097557,-0.0006458516096976,-0.0058518681747231,-0.1035567678891258,-0.0166976285102714
2011-01-02 00:00:00,-0.0043665995429591,-0.0043345243505959,-0.0019625870797227,-0.0033678230707922,-0.0040076186169037,-0.0053269147854101,-0.0046702480670176,-0.00438321277557,-0.0030402038214911,-0.0048086346813944,-0.0031193569387551,-0.0067914121933992,-0.0005209283760896,-0.0047809859810815,-0.0872914601079575,-0.0136888610572009
2011-01-02 01:00:00,-0.0040906428394289,-0.0040282380875543,-0.0017887566429309,-0.0030695279472371,-0.0036654862841765,-0.0048866790830684,-0.0042340516039714,-0.003973825119487,-0.0027562518483102,-0.0043827238641494,-0.0028615618832478,-0.0061571011385388,-0.0004747886617867,-0.0043858678299461,-0.0817551411279739,-0.012585650334671
2011-01-02 02:00:00,-0.0038651461451214,-0.0037779847566499,-0.0016353510423544,-0.0028062820886721,-0.0033403959289919,-0.0044785561411036,-0.0037932940308266,-0.0035601566809342,-0.0024693307171418,-0.0040068569796305,-0.0026225715516642,-0.0055161573784571,-0.0004340703001828,-0.0040195713632866,-0.0766825093775653,-0.0115811331786965
2011-01-02 03:00:00,-0.0035858732186449,-0.0034974952537381,-0.0014903329037442,-0.0025574292158795,-0.0030270575507004,-0.0040793829289267,-0.00338345140915,-0.0031755031487176,-0.0022025343742599,-0.0036515406433738,-0.0023888220401121,-0.0049201697267761,-0.0003955782178542,-0.0036613074134544,-0.0709064026814179,-0.0105793242083256
2011-01-02 04:00:00,-0.0033098660757179,-0.0032295334734586,-0.001369810425798,-0.0023506111918693,-0.002769766980081,-0.0037416541121413,-0.0030726206718731,-0.0028837761913652,-0.0020001920614437,-0.0033562423744065,-0.0021910533934383,-0.0044681638313862,-0.0003635880048504,-0.0033581907308146,-0.0653515206348155,-0.0097151482234011
2011-01-02 05:00:00,-0.0032285737507895,-0.0031508021451817,-0.0013376649373907,-0.002295449146527,-0.0027082836582839,-0.0036577391912353,-0.003006628432189,-0.0028218398608061,-0.0019572329174331,-0.0032774810740786,-0.0021419141446728,-0.0043721988002297,-0.0003550556460839,-0.0032828758296726,-0.0636796393811181,-0.0094938562992104
2011-01-02 06:00:00,-0.0033931136785041,-0.003302469922674,-0.0013861692544625,-0.0023786831389214,-0.0027980622871534,-0.0037921379898931,-0.003072362926385,-0.0028835342870166,-0.0020000242761769,-0.003396323974696,-0.0022206159527628,-0.0044677890213492,-0.0003679301194699,-0.0034035007688995,-0.0666775312673321,-0.0098621082682357
2011-01-02 07:00:00,-0.0038809332704691,-0.0037921928531771,-0.0016185763019092,-0.002777496431994,-0.0032617008310274,-0.0044002794577033,-0.003633635121791,-0.0034103104715303,-0.0023653971319404,-0.0039657563326786,-0.0025767339654921,-0.0052839835311476,-0.0004296177903351,-0.0039493168649403,-0.0758016503090745,-0.0114221115315646
2011-01-02 08:00:00,-0.0041099642385178,-0.0040812483969815,-0.0018231467457519,-0.0031285417779528,-0.0036153838820733,-0.004866983046413,-0.0040546015419553,-0.0038054041291845,-0.0026394347635474,-0.004466984808711,-0.0028500281960983,-0.0058961472616155,-0.0004839168072846,-0.0043681903413949,-0.0802345182888354,-0.0125723722598009
2011-01-02 09:00:00,-0.0043018414659851,-0.0043597550181999,-0.0019973950698614,-0.0034275540011789,-0.0037961614480451,-0.0051705427025545,-0.0041019476695822,-0.0038498403451006,-0.0026702557983358,-0.004893919512982,-0.0030277879234183,-0.0059649973663339,-0.0005301674411814,-0.0046406396894508,-0.0838896958746562,-0.0133694810793987
2011-01-02 10:00:00,-0.0048299643773573,-0.0049568662138292,-0.0023349739441609,-0.0040068434160662,-0.0044318372482671,-0.0059762906220471,-0.0049438907064912,-0.0046400372303035,-0.0032183376992451,-0.0057210387269188,-0.0034996211448621,-0.0071893396550002,-0.000619770810432,-0.0053638105421046,-0.0947053444036924,-0.0154084025935056
2011-01-02 11:00:00,-0.0054848186554898,-0.0056014341896988,-0.0026615049825228,-0.0045671746113987,-0.0052111134052143,-0.0068966389352564,-0.0061500615857639,-0.0057720763707693,-0.0040035219686704,-0.0065210890746673,-0.0040385625419995,-0.0089433371941602,-0.0007064417588522,-0.0061898369683613,-0.1088858948979748,-0.0177170531742345
2011-01-02 12:00:00,-0.0058521210449349,-0.0059855003078492,-0.0028674152660018,-0.0049205191383135,-0.0056723097862607,-0.0074640802310227,-0.0068051686383561,-0.0063869202850716,-0.0044299787513073,-0.0070256003601144,-0.0043708471785274,-0.0098959850966082,-0.000761096408677,-0.0066991240490512,-0.117506025187108,-0.0191332372185867
2011-01-02 13:00:00,-0.0059842413966201,-0.0061152879708465,-0.0029267276838378,-0.0050222999618176,-0.0058126886234147,-0.0076507377128375,-0.006968586791053,-0.006540294693536,-0.0045363595013661,-0.0071709247395472,-0.0044801508438806,-0.0101336255857048,-0.0007768396701223,-0.0068666519408554,-0.1208620732041243,-0.0196009513067587
2011-01-02 14:00:00,-0.0058686729800118,-0.005934329635654,-0.0028088668713866,-0.0048200493878602,-0.0056610399117716,-0.0074323659797415,-0.0068352320918315,-0.0064151360268181,-0.0044495492376779,-0.0068821479529345,-0.0043522758152192,-0.0099397029680314,-0.0007455559414821,-0.0066706600324705,-0.1185363083909475,-0.0190380219127222
2011-01-02 15:00:00,-0.0056505523552353,-0.0056902723270888,-0.0026987277735148,-0.0046310493691393,-0.0054934341540047,-0.0071779387891259,-0.0067216026587552,-0.0063084903035945,-0.0043755795830225,-0.0066122905329628,-0.0042032872816259,-0.0097744645682185,-0.0007163217831657,-0.006442307809741,-0.1132636179398967,-0.0183641808226372
2011-01-02 16:00:00,-0.0053233176525153,-0.0053576449495972,-0.0025335852579487,-0.0043476628230651,-0.0051781081063834,-0.0067528235707904,-0.0063695884256302,-0.0059781110043207,-0.0041464279402385,-0.0062076664345322,-0.0039543465420974,-0.0092625701847106,-0.000672488098869,-0.0060607605199714,-0.105740867774091,-0.0172789266001438
2011-01-02 17:00:00,-0.0052549437449275,-0.0052863554353017,-0.0024907050095503,-0.0042740798002636,-0.0050833239426883,-0.006621581448244,-0.0062726979972205,-0.0058871754999232,-0.0040833549200285,-0.0061026033513572,-0.0038774932335476,-0.009121673421309,-0.0006611064188431,-0.0059429687449387,-0.1034459786059011,-0.0169608667387283
2011-01-02 18:00:00,-0.0057315932785923,-0.0057912551851476,-0.0027774403110838,-0.0047661210318055,-0.0056598112667581,-0.0073695257247,-0.0069917953738521,-0.0065620768676664,-0.0045514676543175,-0.0068051481350154,-0.0043154775570354,-0.0101673751959935,-0.0007372144073949,-0.0066142599602892,-0.1135817259211897,-0.0188268152286804
2011-01-02 19:00:00,-0.0065917775632118,-0.0067160546847439,-0.0032796243036485,-0.0056278748125249,-0.0066110710646364,-0.0086458372174691,-0.0080696216549667,-0.0075736595196868,-0.0052531030988862,-0.0080355747428523,-0.0050628653549192,-0.0117347357393495,-0.0008705088198812,-0.0077597686834876,-0.1321807147801332,-0.0220451110369942
2011-01-02 20:00:00,-0.0071144965670368,-0.0072686201295616,-0.0035488312772699,-0.0060898372222174,-0.0070749746654967,-0.0092774145780688,-0.0085716166828356,-0.008044801734801,-0.0055798881390375,-0.0086951724764783,-0.0054327070553239,-0.0124647301859768,-0.0009419642742911,-0.0083266188450982,-0.141899924065758,-0.0236890114667683
2011-01-02 21:00:00,-0.0068628062036521,-0.0069709535277402,-0.0033784813513394,-0.0057975146972278,-0.0068059319201263,-0.0088940176665932,-0.0083246518443219,-0.0078130154528399,-0.0054191207804199,-0.0082777894363748,-0.0052081958956215,-0.0121055972252528,-0.0008967483900132,-0.00798251436196,-0.1365837785643497,-0.0227115116753731
2011-01-02 22:00:00,-0.006007721582195,-0.0060633642961019,-0.0029096780409143,-0.0049930425691751,-0.0059503056101987,-0.0077416610436879,-0.0073664305576042,-0.0069136868250041,-0.0047953449175729,-0.0071291505400152,-0.004533394106521,-0.0107121646629554,-0.0007723141930656,-0.0069482569951242,-0.1198481784463086,-0.0197665095137855
2011-01-02 23:00:00,-0.0051897845875146,-0.005199323962398,-0.0024332328258361,-0.0041754568406806,-0.0049697633605742,-0.0065200783322841,-0.0060127374051149,-0.0056431921885207,-0.0039141276810863,-0.0059617878233845,-0.0038180546162935,-0.0087436422097557,-0.0006458516096976,-0.0058518681747231,-0.1035567678891258,-0.0166976285102714
2011-01-03 00:00:00,-0.0043665995429591,-0.0043345243505959,-0.0019625870797227,-0.0033678230707922,-0.0040076186169037,-0.0053269147854101,-0.0046702480670176,-0.00438321277557,-0.0030402038214911,-0.0048086346813944,-0.0031193569387551,-0.0067914121933992,-0.0005209283760896,-0.0047809859810815,-0.0872914601079575,-0.0136888610572009
2011-01-03 01:00:00,-0.004285068572499,-0.0041929587371987,-0.0018473627301039,-0.0031700966988148,-0.0038134632751258,-0.0050810104034399,-0.004412585464377,-0.0041413862182921,-0.0028724725108708,-0.0045263176268071,-0.0029753592269332,-0.0064167226873505,-0.0004903444422845,-0.0045602831070452,-0.0849180513753963,-0.0130885994640918
2011-01-03 02:00:00,-0.0038624303053611,-0.0037478860251064,-0.0015889552803309,-0.0027266664021407,-0.0032506631976364,-0.0043816368213609,-0.0036310240643488,-0.0034078598907101,-0.0023636974049237,-0.0038931803572575,-0.0025658171328837,-0.0052801865663834,-0.000421755499368,-0.0039325848189824,-0.0760575305887104,-0.0113584468229458
2011-01-03 03:00:00,-0.003660850096751,-0.0035475385245768,-0.0014846307629667,-0.0025476442736153,-0.0030201127202518,-0.0040883412943794,-0.0033284056512166,-0.0031238405248158,-0.0021667010906261,-0.0036375695374878,-0.0023940679170522,-0.0048401229227822,-0.0003940647018598,-0.0036693476809203,-0.0719445593958557,-0.0106254666900021
