,edisgo_id
0,Charging_Point_LVGrid_109034_home_1
1,Charging_Point_LVGrid_109034_home_2
3,Charging_Point_LVGrid_109035_home_1
4,Charging_Point_LVGrid_109035_home_2
5,Charging_Point_LVGrid_109035_home_3
6,Charging_Point_LVGrid_109035_home_4
7,Charging_Point_LVGrid_109035_home_5
10,Charging_Point_LVGrid_109037_home_1
13,Charging_Point_LVGrid_109035_home_6
14,Charging_Point_LVGrid_109037_home_2
17,Charging_Point_LVGrid_109035_home_7
18,Charging_Point_LVGrid_109037_home_3
22,Charging_Point_LVGrid_109035_home_8
23,Charging_Point_LVGrid_109035_home_9
25,Charging_Point_LVGrid_109035_home_10
27,Charging_Point_LVGrid_109035_home_11
30,Charging_Point_LVGrid_109036_home_1
38,Charging_Point_LVGrid_109036_home_2
48,Charging_Point_LVGrid_109037_home_4
50,Charging_Point_LVGrid_109191_home_1
51,Charging_Point_LVGrid_109191_home_2
52,Charging_Point_LVGrid_109036_home_3
54,Charging_Point_LVGrid_109191_home_3
55,Charging_Point_LVGrid_109191_home_4
56,Charging_Point_LVGrid_109191_home_5
59,Charging_Point_LVGrid_109191_home_6
64,Charging_Point_LVGrid_109036_home_4
66,Charging_Point_LVGrid_109034_home_3
69,Charging_Point_LVGrid_109037_home_5
73,Charging_Point_LVGrid_109037_home_6
76,Charging_Point_LVGrid_109034_home_4
79,Charging_Point_LVGrid_109037_home_7
80,Charging_Point_LVGrid_109034_home_5
81,Charging_Point_LVGrid_109036_home_5
95,Charging_Point_LVGrid_109037_home_8
97,Charging_Point_LVGrid_97731_home_1
99,Charging_Point_LVGrid_97735_home_1
100,Charging_Point_LVGrid_97735_home_2
101,Charging_Point_LVGrid_97722_home_1
105,Charging_Point_LVGrid_97722_home_2
106,Charging_Point_LVGrid_97722_home_3
108,Charging_Point_LVGrid_97728_home_1
109,Charging_Point_LVGrid_97723_home_1
110,Charging_Point_LVGrid_97722_home_4
112,Charging_Point_LVGrid_97723_home_2
113,Charging_Point_LVGrid_97723_home_3
114,Charging_Point_LVGrid_97722_home_5
116,Charging_Point_LVGrid_97728_home_2
117,Charging_Point_LVGrid_97728_home_3
118,Charging_Point_LVGrid_97722_home_6
120,Charging_Point_LVGrid_97722_home_7
121,Charging_Point_LVGrid_97723_home_4
122,Charging_Point_LVGrid_97723_home_5
128,Charging_Point_LVGrid_97725_home_1
130,Charging_Point_LVGrid_97732_home_1
131,Charging_Point_LVGrid_97732_home_2
134,Charging_Point_LVGrid_97722_home_8
135,Charging_Point_LVGrid_97722_home_9
136,Charging_Point_LVGrid_97732_home_3
139,Charging_Point_LVGrid_97732_home_4
142,Charging_Point_LVGrid_97728_home_4
143,Charging_Point_LVGrid_97726_home_1
144,Charging_Point_LVGrid_97727_home_1
150,Charging_Point_LVGrid_97731_home_2
151,Charging_Point_LVGrid_97726_home_2
157,Charging_Point_LVGrid_97735_home_3
159,Charging_Point_LVGrid_97735_home_4
163,Charging_Point_LVGrid_97732_home_5
165,Charging_Point_LVGrid_97731_home_3
171,Charging_Point_LVGrid_97726_home_3
172,Charging_Point_LVGrid_97728_home_5
174,Charging_Point_LVGrid_97734_home_1
176,Charging_Point_LVGrid_97724_home_1
179,Charging_Point_LVGrid_97726_home_4
180,Charging_Point_LVGrid_97726_home_5
181,Charging_Point_LVGrid_97728_home_6
187,Charging_Point_LVGrid_97851_home_1
190,Charging_Point_LVGrid_97734_home_2
193,Charging_Point_LVGrid_99001_home_1
196,Charging_Point_LVGrid_97725_home_2
198,Charging_Point_LVGrid_98712_home_1
201,Charging_Point_LVGrid_98952_home_1
202,Charging_Point_LVGrid_97734_home_3
203,Charging_Point_LVGrid_97728_home_7
204,Charging_Point_LVGrid_97735_home_5
206,Charging_Point_LVGrid_97732_home_6
208,Charging_Point_LVGrid_98712_home_2
209,Charging_Point_LVGrid_97729_home_1
210,Charging_Point_LVGrid_99310_home_1
214,Charging_Point_LVGrid_97735_home_6
