,residential_building_id,db_building_id,hp_building_id,building_ids
0,Load_mvgd_1056_lvgd_97731_91,1041839,HP_Load_mvgd_1056_lvgd_97731_91,0
1,Load_mvgd_1056_lvgd_97722_108,1070050,HP_Load_mvgd_1056_lvgd_97722_108,1
2,Load_mvgd_1056_lvgd_97718_41,1028643,HP_Load_mvgd_1056_lvgd_97718_41,2
3,Load_mvgd_1056_lvgd_97731_48,1070009,HP_Load_mvgd_1056_lvgd_97731_48,3
4,Load_mvgd_1056_lvgd_97829_3,1067517,HP_Load_mvgd_1056_lvgd_97829_3,4
5,Load_mvgd_1056_lvgd_97723_49,1041950,HP_Load_mvgd_1056_lvgd_97723_49,5
6,Load_mvgd_1056_lvgd_97254_6,1067531,HP_Load_mvgd_1056_lvgd_97254_6,6
7,Load_mvgd_1056_lvgd_97720_15,1028796,HP_Load_mvgd_1056_lvgd_97720_15,7
8,Load_mvgd_1056_lvgd_103093_11,1080605,HP_Load_mvgd_1056_lvgd_103093_11,8
9,Load_mvgd_1056_lvgd_103068_23,1069604,HP_Load_mvgd_1056_lvgd_103068_23,9
10,Load_mvgd_1056_lvgd_97735_67,1069344,HP_Load_mvgd_1056_lvgd_97735_67,10
11,Load_mvgd_1056_lvgd_109035_48,1030851,HP_Load_mvgd_1056_lvgd_109035_48,11
12,Load_mvgd_1056_lvgd_97876_21,1041907,HP_Load_mvgd_1056_lvgd_97876_21,12
13,Load_mvgd_1056_lvgd_97722_97,1069986,HP_Load_mvgd_1056_lvgd_97722_97,13
14,Load_mvgd_1056_lvgd_97732_101,1070206,HP_Load_mvgd_1056_lvgd_97732_101,14
15,Load_mvgd_1056_lvgd_98951_59,1080609,HP_Load_mvgd_1056_lvgd_98951_59,15
16,Load_mvgd_1056_lvgd_97290_30,1031372,HP_Load_mvgd_1056_lvgd_97290_30,16
17,Load_mvgd_1056_lvgd_440438_35,1029119,HP_Load_mvgd_1056_lvgd_440438_35,17
18,Load_mvgd_1056_lvgd_97976_25,1030079,HP_Load_mvgd_1056_lvgd_97976_25,18
19,Load_mvgd_1056_lvgd_109684_4,1080598,HP_Load_mvgd_1056_lvgd_109684_4,19
20,Load_mvgd_1056_lvgd_102248_56,1069548,HP_Load_mvgd_1056_lvgd_102248_56,20
21,Load_mvgd_1056_lvgd_109037_40,1029701,HP_Load_mvgd_1056_lvgd_109037_40,21
22,Load_mvgd_1056_lvgd_97735_71,1028626,HP_Load_mvgd_1056_lvgd_97735_71,22
23,Load_mvgd_1056_lvgd_98278_9,1028390,HP_Load_mvgd_1056_lvgd_98278_9,23
24,Load_mvgd_1056_lvgd_97732_13,1030142,HP_Load_mvgd_1056_lvgd_97732_13,24
25,Load_mvgd_1056_lvgd_102177_73,1041860,HP_Load_mvgd_1056_lvgd_102177_73,25
26,Load_mvgd_1056_lvgd_97718_15,1028985,HP_Load_mvgd_1056_lvgd_97718_15,26
27,Load_mvgd_1056_lvgd_97721_29,1029199,HP_Load_mvgd_1056_lvgd_97721_29,27
28,Load_mvgd_1056_lvgd_102250_12,1030957,HP_Load_mvgd_1056_lvgd_102250_12,28
29,Load_mvgd_1056_lvgd_97976_56,1030588,HP_Load_mvgd_1056_lvgd_97976_56,29
30,Load_mvgd_1056_lvgd_102785_14,1028923,HP_Load_mvgd_1056_lvgd_102785_14,30
31,Load_mvgd_1056_lvgd_109036_41,1029679,HP_Load_mvgd_1056_lvgd_109036_41,31
32,Load_mvgd_1056_lvgd_97722_71,1080541,HP_Load_mvgd_1056_lvgd_97722_71,32
33,Load_mvgd_1056_lvgd_102178_13,1271278,HP_Load_mvgd_1056_lvgd_102178_13,33
34,Load_mvgd_1056_lvgd_97728_47,1270895,HP_Load_mvgd_1056_lvgd_97728_47,34
35,Load_mvgd_1056_lvgd_98276_12,1028917,HP_Load_mvgd_1056_lvgd_98276_12,35
36,Load_mvgd_1056_lvgd_98951_13,1030896,HP_Load_mvgd_1056_lvgd_98951_13,36
37,Load_mvgd_1056_lvgd_103068_36,1069816,HP_Load_mvgd_1056_lvgd_103068_36,37
38,Load_mvgd_1056_lvgd_97718_12,1028532,HP_Load_mvgd_1056_lvgd_97718_12,38
39,Load_mvgd_1056_lvgd_97828_25,1069385,HP_Load_mvgd_1056_lvgd_97828_25,39
40,Load_mvgd_1056_lvgd_102319_24,1029187,HP_Load_mvgd_1056_lvgd_102319_24,40
41,Load_mvgd_1056_lvgd_97976_32,1041854,HP_Load_mvgd_1056_lvgd_97976_32,41
42,Load_mvgd_1056_lvgd_99144_13,1030073,HP_Load_mvgd_1056_lvgd_99144_13,42
43,Load_mvgd_1056_lvgd_97290_25,1028990,HP_Load_mvgd_1056_lvgd_97290_25,43
44,Load_mvgd_1056_lvgd_97731_34,1069773,HP_Load_mvgd_1056_lvgd_97731_34,44
45,Load_mvgd_1056_lvgd_440438_44,1028601,HP_Load_mvgd_1056_lvgd_440438_44,45
46,Load_mvgd_1056_lvgd_97731_20,1028944,HP_Load_mvgd_1056_lvgd_97731_20,46
47,Load_mvgd_1056_lvgd_97726_57,1041879,HP_Load_mvgd_1056_lvgd_97726_57,47
48,Load_mvgd_1056_lvgd_97735_16,1270569,HP_Load_mvgd_1056_lvgd_97735_16,48
49,Load_mvgd_1056_lvgd_97828_15,1030195,HP_Load_mvgd_1056_lvgd_97828_15,49
50,Load_mvgd_1056_lvgd_102242_24,1028575,HP_Load_mvgd_1056_lvgd_102242_24,50
51,Load_mvgd_1056_lvgd_440493_4,1082111,HP_Load_mvgd_1056_lvgd_440493_4,51
52,Load_mvgd_1056_lvgd_97733_85,1069369,HP_Load_mvgd_1056_lvgd_97733_85,52
53,Load_mvgd_1056_lvgd_97725_75,1067730,HP_Load_mvgd_1056_lvgd_97725_75,53
54,Load_mvgd_1056_lvgd_97723_11,1030106,HP_Load_mvgd_1056_lvgd_97723_11,54
55,Load_mvgd_1056_lvgd_97732_105,1271287,HP_Load_mvgd_1056_lvgd_97732_105,55
56,Load_mvgd_1056_lvgd_97727_23,1067293,HP_Load_mvgd_1056_lvgd_97727_23,56
