,capacity,efficiency,state_of_charge_initial
HP_Load_mvgd_1056_lvgd_97731_91,0.03,1.0,0.5
HP_Load_mvgd_1056_lvgd_97722_108,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97718_41,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97731_48,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_97829_3,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_97723_49,0.03,1.0,0.5
HP_Load_mvgd_1056_lvgd_97254_6,0.04,1.0,0.5
HP_Load_mvgd_1056_lvgd_97720_15,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_103093_11,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_103068_23,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97735_67,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_109035_48,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97876_21,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_97722_97,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97732_101,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_98951_59,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_97290_30,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_440438_35,0.035,1.0,0.5
HP_Load_mvgd_1056_lvgd_97976_25,0.035,1.0,0.5
HP_Load_mvgd_1056_lvgd_109684_4,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_102248_56,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_109037_40,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_97735_71,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_98278_9,0.045,1.0,0.5
HP_Load_mvgd_1056_lvgd_97732_13,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_102177_73,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97718_15,0.04,1.0,0.5
HP_Load_mvgd_1056_lvgd_97721_29,0.045,1.0,0.5
HP_Load_mvgd_1056_lvgd_102250_12,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_97976_56,0.03,1.0,0.5
HP_Load_mvgd_1056_lvgd_102785_14,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_109036_41,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_97722_71,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_102178_13,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97728_47,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_98276_12,0.03,1.0,0.5
HP_Load_mvgd_1056_lvgd_98951_13,0.045,1.0,0.5
HP_Load_mvgd_1056_lvgd_103068_36,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97718_12,0.05,1.0,0.5
HP_Load_mvgd_1056_lvgd_97828_25,0.03,1.0,0.5
HP_Load_mvgd_1056_lvgd_102319_24,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97976_32,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_99144_13,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97290_25,0.045,1.0,0.5
HP_Load_mvgd_1056_lvgd_97731_34,0.04,1.0,0.5
HP_Load_mvgd_1056_lvgd_440438_44,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97731_20,0.045,1.0,0.5
HP_Load_mvgd_1056_lvgd_97726_57,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97735_16,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_97828_15,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_102242_24,0.045,1.0,0.5
HP_Load_mvgd_1056_lvgd_440493_4,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_97733_85,0.03,1.0,0.5
HP_Load_mvgd_1056_lvgd_97725_75,0.045,1.0,0.5
HP_Load_mvgd_1056_lvgd_97723_11,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97732_105,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_97727_23,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_102177_61,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97721_8,0.035,1.0,0.5
HP_Load_mvgd_1056_lvgd_97729_72,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_97195_6,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_504532_2,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_98278_17,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97734_51,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_102177_62,0.225,1.0,0.5
HP_Load_mvgd_1056_lvgd_97722_48,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_102579_22,0.08,1.0,0.5
HP_Load_mvgd_1056_lvgd_98278_49,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_97729_12,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97733_55,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97728_7,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97718_11,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_97101_15,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_98951_64,0.08,1.0,0.5
HP_Load_mvgd_1056_lvgd_109035_92,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_103068_40,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_97735_27,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_97735_47,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_97725_46,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_103093_10,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_102576_29,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97255_34,0.04,1.0,0.5
HP_Load_mvgd_1056_lvgd_99159_10,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_97732_76,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97726_68,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97876_20,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_102177_85,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97722_8,0.035,1.0,0.5
HP_Load_mvgd_1056_lvgd_109684_9,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_109035_54,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_99309_26,0.04,1.0,0.5
HP_Load_mvgd_1056_lvgd_97726_15,0.105,1.0,0.5
HP_Load_mvgd_1056_lvgd_97722_2,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_97341_15,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_99021_1,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97851_28,0.035,1.0,0.5
HP_Load_mvgd_1056_lvgd_97101_18,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_98279_59,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97340_10,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_109037_15,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_97727_29,0.03,1.0,0.5
HP_Load_mvgd_1056_lvgd_97255_5,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_440438_3,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_97851_3,0.035,1.0,0.5
HP_Load_mvgd_1056_lvgd_98280_36,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_97731_8,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97735_68,0.045,1.0,0.5
HP_Load_mvgd_1056_lvgd_97721_30,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_97729_28,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97732_68,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_109035_94,0.05,1.0,0.5
HP_Load_mvgd_1056_lvgd_97728_116,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97735_50,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_109037_12,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_440438_38,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_109036_26,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_98279_18,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_98952_24,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_440493_25,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_97731_14,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_102785_21,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_98951_2,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_502473_8,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_97717_8,0.015,1.0,0.5
HP_Load_mvgd_1056_lvgd_97254_22,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_440438_26,0.04,1.0,0.5
HP_Load_mvgd_1056_lvgd_97768_5,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_109684_15,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_504532_10,0.035,1.0,0.5
HP_Load_mvgd_1056_lvgd_97221_12,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_102578_8,0.04,1.0,0.5
HP_Load_mvgd_1056_lvgd_98951_56,0.035,1.0,0.5
HP_Load_mvgd_1056_lvgd_99310_4,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_109033_5,0.03,1.0,0.5
HP_Load_mvgd_1056_lvgd_102177_37,0.04,1.0,0.5
HP_Load_mvgd_1056_lvgd_97828_27,0.025,1.0,0.5
HP_Load_mvgd_1056_lvgd_97722_60,0.005,1.0,0.5
HP_Load_mvgd_1056_lvgd_97729_21,0.055,1.0,0.5
HP_Load_mvgd_1056_lvgd_97334_13,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_97731_1,0.02,1.0,0.5
HP_Load_mvgd_1056_lvgd_102177_87,0.01,1.0,0.5
HP_Load_mvgd_1056_lvgd_97340_1,0.005,1.0,0.5
