,bus,p_nom,type,control,weather_cell_id,subtype,voltage_level,id,subst_id,la_id,geom,mvlv_subst_id,geom_em,p
Generator_mvgd_1056_solar_ground_mounted_750114,Bus_mvgd_1056_gen_750114,1.017,solar,PQ,1131085.0,solar_ground_mounted,mv,750114.0,,,,,,
Generator_mvgd_1056_solar_ground_mounted_750128,Bus_mvgd_1056_gen_750128,1.39529,solar,PQ,1131085.0,solar_ground_mounted,mv,750128.0,,,,,,
Generator_mvgd_1056_solar_ground_mounted_750129,Bus_mvgd_1056_gen_750129,4.861,solar,PQ,1130085.0,solar_ground_mounted,mv,750129.0,,,,,,
Generator_mvgd_1056_solar_ground_mounted_750200,Bus_mvgd_1056_gen_750200,7.09051,solar,PQ,1131085.0,solar_ground_mounted,mv,750200.0,,,,,,
Generator_mvgd_1056_solar_ground_mounted_750284,Bus_mvgd_1056_gen_750284,2.4998400000000003,solar,PQ,1130085.0,solar_ground_mounted,mv,750284.0,,,,,,
Generator_mvgd_1056_solar_roof_mounted_750296,Bus_mvgd_1056_gen_752430,0.341445,solar,PQ,1131085.0,solar_roof_mounted,mv,750296.0,,,,,,
Generator_mvgd_1056_solar_ground_mounted_752198,Bus_mvgd_1056_gen_752198,1.7577,solar,PQ,1130085.0,solar_ground_mounted,mv,752198.0,,,,,,
Generator_mvgd_1056_biogas_752430,Bus_mvgd_1056_gen_752430,1.9869778986194264,biomass,PQ,,biogas,mv,752430.0,,,,,,
Generator_mvgd_1056_solar_ground_mounted_752492,Bus_mvgd_1056_gen_752492,12.585,solar,PQ,1131085.0,solar_ground_mounted,mv,752492.0,,,,,,
Generator_mvgd_1056_wind_onshore_752950,Bus_mvgd_1056_gen_750114,1.5,wind,PQ,1131085.0,wind_onshore,mv,752950.0,,,,,,
Generator_mvgd_1056_wind_onshore_752952,Bus_mvgd_1056_gen_750128,1.5,wind,PQ,1131085.0,wind_onshore,mv,752952.0,,,,,,
Generator_mvgd_1056_lvgd_97101_solar_roof_mounted_749943,BranchTee_mvgd_1056_lvgd_97101_48,0.01355,solar,PQ,1130085.0,solar_roof_mounted,lv,749943.0,,,,,,
Generator_mvgd_1056_lvgd_97101_solar_roof_mounted_750013,BusBar_mvgd_1056_lvgd_97101_LV,0.0504,solar,PQ,1130085.0,solar_roof_mounted,lv,750013.0,,,,,,
Generator_mvgd_1056_lvgd_97101_solar_roof_mounted_750017,BranchTee_mvgd_1056_lvgd_97101_12,0.0252,solar,PQ,1130085.0,solar_roof_mounted,lv,750017.0,,,,,,
Generator_mvgd_1056_lvgd_97101_solar_roof_mounted_750056,BranchTee_mvgd_1056_lvgd_97101_34,0.0047599999999999,solar,PQ,1130085.0,solar_roof_mounted,lv,750056.0,,,,,,
Generator_mvgd_1056_lvgd_97101_solar_roof_mounted_750261,BranchTee_mvgd_1056_lvgd_97101_22,0.00784,solar,PQ,1130085.0,solar_roof_mounted,lv,750261.0,,,,,,
Generator_mvgd_1056_lvgd_97101_solar_roof_mounted_752141,BranchTee_mvgd_1056_lvgd_97101_20,0.003,solar,PQ,1130085.0,solar_roof_mounted,lv,752141.0,,,,,,
Generator_mvgd_1056_lvgd_97101_solar_roof_mounted_752481,BranchTee_mvgd_1056_lvgd_97101_14,0.01311,solar,PQ,1130085.0,solar_roof_mounted,lv,752481.0,,,,,,
Generator_mvgd_1056_lvgd_97101_solar_roof_mounted_752953,BranchTee_mvgd_1056_lvgd_97101_30,0.0011,solar,PQ,1130085.0,solar_roof_mounted,lv,752953.0,,,,,,
Generator_mvgd_1056_lvgd_97101_solar_roof_mounted_752983,BranchTee_mvgd_1056_lvgd_97101_18,0.0168299999999999,solar,PQ,1130085.0,solar_roof_mounted,lv,752983.0,,,,,,
Generator_mvgd_1056_lvgd_97101_solar_roof_mounted_753003,BranchTee_mvgd_1056_lvgd_97101_44,0.01197,solar,PQ,1130085.0,solar_roof_mounted,lv,753003.0,,,,,,
Generator_mvgd_1056_lvgd_97101_solar_roof_mounted_753035,BranchTee_mvgd_1056_lvgd_97101_38,0.017,solar,PQ,1130085.0,solar_roof_mounted,lv,753035.0,,,,,,
Generator_mvgd_1056_lvgd_440123_solar_roof_mounted_749982,BranchTee_mvgd_1056_lvgd_440123_6,0.01701,solar,PQ,1131085.0,solar_roof_mounted,lv,749982.0,,,,,,
Generator_mvgd_1056_lvgd_440123_solar_roof_mounted_750123,BranchTee_mvgd_1056_lvgd_440123_4,0.01077,solar,PQ,1131085.0,solar_roof_mounted,lv,750123.0,,,,,,
Generator_mvgd_1056_lvgd_440123_solar_roof_mounted_752160,BranchTee_mvgd_1056_lvgd_440123_2,0.0205,solar,PQ,1131085.0,solar_roof_mounted,lv,752160.0,,,,,,
Generator_mvgd_1056_lvgd_440123_solar_roof_mounted_752250,BusBar_mvgd_1056_lvgd_440123_LV,0.04998,solar,PQ,1131085.0,solar_roof_mounted,lv,752250.0,,,,,,
Generator_mvgd_1056_lvgd_440123_solar_roof_mounted_752506,BranchTee_mvgd_1056_lvgd_440123_2,0.00705,solar,PQ,1131085.0,solar_roof_mounted,lv,752506.0,,,,,,
Generator_mvgd_1056_lvgd_97195_solar_roof_mounted_753001,BranchTee_mvgd_1056_lvgd_97195_10,0.0207,solar,PQ,1131085.0,solar_roof_mounted,lv,753001.0,,,,,,
Generator_mvgd_1056_lvgd_97195_solar_roof_mounted_753056,BranchTee_mvgd_1056_lvgd_97195_24,0.01425,solar,PQ,1131085.0,solar_roof_mounted,lv,753056.0,,,,,,
Generator_mvgd_1056_lvgd_97221_solar_roof_mounted_749972,BranchTee_mvgd_1056_lvgd_97221_12,0.0275,solar,PQ,1131085.0,solar_roof_mounted,lv,749972.0,,,,,,
Generator_mvgd_1056_lvgd_97221_solar_roof_mounted_749980,BranchTee_mvgd_1056_lvgd_97221_32,0.02142,solar,PQ,1131085.0,solar_roof_mounted,lv,749980.0,,,,,,
Generator_mvgd_1056_lvgd_97221_solar_roof_mounted_750104,BranchTee_mvgd_1056_lvgd_97221_14,0.02812,solar,PQ,1131085.0,solar_roof_mounted,lv,750104.0,,,,,,
Generator_mvgd_1056_lvgd_97221_solar_roof_mounted_750153,BranchTee_mvgd_1056_lvgd_97221_22,0.0025499999999999,solar,PQ,1131085.0,solar_roof_mounted,lv,750153.0,,,,,,
Generator_mvgd_1056_lvgd_97221_solar_roof_mounted_750253,Bus_mvgd_1056_lvgd_97221_gen_750253,0.17628,solar,PQ,1131085.0,solar_roof_mounted,lv,750253.0,,,,,,
Generator_mvgd_1056_lvgd_97221_solar_roof_mounted_752974,BranchTee_mvgd_1056_lvgd_97221_2,0.00765,solar,PQ,1131085.0,solar_roof_mounted,lv,752974.0,,,,,,
Generator_mvgd_1056_lvgd_97239_solar_roof_mounted_750117,BranchTee_mvgd_1056_lvgd_97239_50,0.0126,solar,PQ,1131085.0,solar_roof_mounted,lv,750117.0,,,,,,
Generator_mvgd_1056_lvgd_97239_solar_roof_mounted_752207,BranchTee_mvgd_1056_lvgd_97239_10,0.00954,solar,PQ,1131085.0,solar_roof_mounted,lv,752207.0,,,,,,
Generator_mvgd_1056_lvgd_97239_solar_roof_mounted_752513,BranchTee_mvgd_1056_lvgd_97239_34,0.015,solar,PQ,1131085.0,solar_roof_mounted,lv,752513.0,,,,,,
Generator_mvgd_1056_lvgd_97253_solar_roof_mounted_750052,BranchTee_mvgd_1056_lvgd_97253_14,0.01116,solar,PQ,1131085.0,solar_roof_mounted,lv,750052.0,,,,,,
Generator_mvgd_1056_lvgd_97253_solar_roof_mounted_750067,BranchTee_mvgd_1056_lvgd_97253_2,0.02588,solar,PQ,1131085.0,solar_roof_mounted,lv,750067.0,,,,,,
