,bus0,bus1,length,x,r,b,s_nom,num_parallel,type_info,kind
Branch_Generator_mvgd_1056_biogas_752430_MVCableDist_mvgd_1056_79,Bus_mvgd_1056_gen_752430,BranchTee_mvgd_1056_79,0.2393346259731066,0.0285718923028573,0.0392508786595894,0.0,6.183421383020892,1.0,NA2XS2Y 3x1x185 RM/25,cable
Branch_Generator_mvgd_1056_solar_ground_mounted_750114_MVCableDist_mvgd_1056_80,Bus_mvgd_1056_gen_750114,BranchTee_mvgd_1056_80,0.4504664950238702,0.0452858314065706,0.027478456196456,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_Generator_mvgd_1056_solar_ground_mounted_750128_MVCableDist_mvgd_1056_81,Bus_mvgd_1056_gen_750128,BranchTee_mvgd_1056_81,0.2743158644098802,0.0301626046537624,0.027431586440988,0.0,8.071356763270968,1.0,NA2XS2Y 3x1x300 RM/25,cable
Branch_Generator_mvgd_1056_solar_ground_mounted_750129_MVCableDist_mvgd_1056_83,Bus_mvgd_1056_gen_750129,BranchTee_mvgd_1056_83,2.5653966123061247,0.257901796824482,0.1564891933506736,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_Generator_mvgd_1056_solar_ground_mounted_750200_MVStation_mvgd_1056,Busbar_mvgd_1056_MV,Bus_mvgd_1056_gen_750200,9.126924570722554,0.9175385338000048,0.5567423988140758,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_Generator_mvgd_1056_solar_ground_mounted_750284_MVCableDist_mvgd_1056_82,Bus_mvgd_1056_gen_750284,BranchTee_mvgd_1056_82,0.527142431747962,0.0529941373111954,0.0321556883366256,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_Generator_mvgd_1056_solar_ground_mounted_752198_MVCableDist_mvgd_1056_83,Bus_mvgd_1056_gen_752198,BranchTee_mvgd_1056_83,0.4217145003096526,0.042395365634723,0.0257245845188888,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_Generator_mvgd_1056_solar_ground_mounted_752492_MVStation_mvgd_1056,Busbar_mvgd_1056_MV,Bus_mvgd_1056_gen_752492,4.701132511355321,0.2363046937796162,0.1433845415963373,0.0,21.09637883618892,2.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102175_LVStation_mvgd_1056_lvgd_102176,BusBar_mvgd_1056_lvgd_102175_MV,BusBar_mvgd_1056_lvgd_102176_MV,0.4680395864455605,0.0470524712437304,0.0285504147731791,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102175_MVCableDist_mvgd_1056_34,BusBar_mvgd_1056_lvgd_102175_MV,BranchTee_mvgd_1056_34,1.3909015454438944,0.1398286744650633,0.0848449942720775,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102176_MVCableDist_mvgd_1056_66,virtual_BusBar_mvgd_1056_lvgd_102176_MV,BranchTee_mvgd_1056_66,0.388345111808864,0.0390407088101194,0.0236890518203407,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102177_LVStation_mvgd_1056_lvgd_102178,BusBar_mvgd_1056_lvgd_102178_MV,BusBar_mvgd_1056_lvgd_102177_MV,0.4679606071581781,0.0470445313797616,0.0285455970366488,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102177_MVCableDist_mvgd_1056_66,BusBar_mvgd_1056_lvgd_102177_MV,BranchTee_mvgd_1056_66,0.104363316924254,0.0104917449521119,0.0063661623323794,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102242_MVCableDist_mvgd_1056_36,BusBar_mvgd_1056_lvgd_102242_MV,BranchTee_mvgd_1056_36,2.1564209413260897,0.2167870779941513,0.1315416774208914,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102243_MVCableDist_mvgd_1056_32,BusBar_mvgd_1056_lvgd_102243_MV,BranchTee_mvgd_1056_32,1.787863758172339,0.179735668745397,0.1090596892485126,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102249_MVCableDist_mvgd_1056_67,BusBar_mvgd_1056_lvgd_102249_MV,BranchTee_mvgd_1056_67,0.2570070835815654,0.0258371701024122,0.0156774320984754,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102249_MVCableDist_mvgd_1056_70,BusBar_mvgd_1056_lvgd_102249_MV,BranchTee_mvgd_1056_70,0.0790829437700903,0.0079502846455158,0.0048240595699755,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102250_MVCableDist_mvgd_1056_68,BusBar_mvgd_1056_lvgd_102250_MV,BranchTee_mvgd_1056_68,0.2061783000082532,0.0207273034443379,0.0125768763005034,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102250_MVCableDist_mvgd_1056_70,BusBar_mvgd_1056_lvgd_102250_MV,BranchTee_mvgd_1056_70,0.390532457986572,0.0392606048319673,0.0238224799371808,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102319_MVCableDist_mvgd_1056_33,BusBar_mvgd_1056_lvgd_102319_MV,BranchTee_mvgd_1056_33,2.282188363968734,0.229430598347273,0.1392134902020927,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102576_LVStation_mvgd_1056_lvgd_102577,BusBar_mvgd_1056_lvgd_102576_MV,BusBar_mvgd_1056_lvgd_102577_MV,0.4680402413331094,0.0470525370802076,0.0285504547213196,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102576_MVCableDist_mvgd_1056_71,BusBar_mvgd_1056_lvgd_102576_MV,BranchTee_mvgd_1056_71,0.2368723159592598,0.0238130024850051,0.0144492112735148,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102578_LVStation_mvgd_1056_lvgd_97239,BusBar_mvgd_1056_lvgd_97239_MV,BusBar_mvgd_1056_lvgd_102578_MV,1.1862561751402585,0.1192554779230772,0.0723616266835557,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102578_MVCableDist_mvgd_1056_71,BusBar_mvgd_1056_lvgd_102578_MV,BranchTee_mvgd_1056_71,0.4777068743286081,0.0480243330227231,0.029140119334045,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102579_LVStation_mvgd_1056_lvgd_440994,BusBar_mvgd_1056_lvgd_102579_MV,BusBar_mvgd_1056_lvgd_440994_MV,0.7118320063815043,0.0849788756698522,0.1167404490465666,0.0,6.183421383020892,1.0,NA2XS2Y 3x1x185 RM/25,cable
Branch_LVStation_mvgd_1056_lvgd_102579_MVCableDist_mvgd_1056_71,BusBar_mvgd_1056_lvgd_102579_MV,BranchTee_mvgd_1056_71,0.243127966418344,0.024441889061827,0.0148308059515189,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102659_MVCableDist_mvgd_1056_34,BusBar_mvgd_1056_lvgd_102659_MV,BranchTee_mvgd_1056_34,0.2907907635886204,0.0292334760518968,0.0177382365789058,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102708_LVStation_mvgd_1056_lvgd_440493,BusBar_mvgd_1056_lvgd_440493_MV,BusBar_mvgd_1056_lvgd_102708_MV,1.1055693358145902,0.1111439521097364,0.06743972948469,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102723_MVCableDist_mvgd_1056_36,BusBar_mvgd_1056_lvgd_102723_MV,BranchTee_mvgd_1056_36,0.1349117598354939,0.0135628093946258,0.0082296173499651,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102773_MVCableDist_mvgd_1056_72,BusBar_mvgd_1056_lvgd_102773_MV,BranchTee_mvgd_1056_72,0.3603412138727438,0.0362254499292237,0.0219808140462373,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102774_LVStation_mvgd_1056_lvgd_102775,BusBar_mvgd_1056_lvgd_102774_MV,BusBar_mvgd_1056_lvgd_102775_MV,0.4710699657009356,0.0473571181943313,0.028735267907757,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102774_MVCableDist_mvgd_1056_72,BusBar_mvgd_1056_lvgd_102774_MV,BranchTee_mvgd_1056_72,0.3038043829998791,0.0305417477683456,0.0185320673629926,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102775_MVCableDist_mvgd_1056_37,BusBar_mvgd_1056_lvgd_102775_MV,BranchTee_mvgd_1056_37,0.7081752131471611,0.0711935375064802,0.0431986880019768,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102785_MVCableDist_mvgd_1056_33,BusBar_mvgd_1056_lvgd_102785_MV,BranchTee_mvgd_1056_33,1.1505803574473197,0.1156689535462789,0.0701854018042864,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102785_MVCableDist_mvgd_1056_73,BusBar_mvgd_1056_lvgd_102785_MV,BranchTee_mvgd_1056_73,0.2555634465147477,0.0256920398750982,0.0155893702373996,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
Branch_LVStation_mvgd_1056_lvgd_102937_MVCableDist_mvgd_1056_44,BusBar_mvgd_1056_lvgd_102937_MV,BranchTee_mvgd_1056_44,3.349829239913698,0.3367615657885809,0.2043395836347355,0.0,10.54818941809446,1.0,NA2XS2Y 3x1x500 RM/35,cable
