,bus,p_set,type,annual_consumption,sector,voltage_level,p,geom
Load_mvgd_1056_lvgd_97101_1,BranchTee_mvgd_1056_lvgd_97101_2,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_2,BranchTee_mvgd_1056_lvgd_97101_4,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_3,BranchTee_mvgd_1056_lvgd_97101_6,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_4,BranchTee_mvgd_1056_lvgd_97101_8,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_5,BranchTee_mvgd_1056_lvgd_97101_10,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_6,BranchTee_mvgd_1056_lvgd_97101_12,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_7,BranchTee_mvgd_1056_lvgd_97101_14,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_8,BranchTee_mvgd_1056_lvgd_97101_16,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_9,BranchTee_mvgd_1056_lvgd_97101_18,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_10,BranchTee_mvgd_1056_lvgd_97101_20,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_11,BranchTee_mvgd_1056_lvgd_97101_22,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_12,BranchTee_mvgd_1056_lvgd_97101_24,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_13,BranchTee_mvgd_1056_lvgd_97101_26,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_14,BranchTee_mvgd_1056_lvgd_97101_28,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_15,BranchTee_mvgd_1056_lvgd_97101_30,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_16,BranchTee_mvgd_1056_lvgd_97101_32,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_17,BranchTee_mvgd_1056_lvgd_97101_34,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_18,BranchTee_mvgd_1056_lvgd_97101_36,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_19,BranchTee_mvgd_1056_lvgd_97101_38,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_20,BranchTee_mvgd_1056_lvgd_97101_40,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_21,BranchTee_mvgd_1056_lvgd_97101_42,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_22,BranchTee_mvgd_1056_lvgd_97101_44,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_23,BranchTee_mvgd_1056_lvgd_97101_46,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_97101_24,BranchTee_mvgd_1056_lvgd_97101_48,0.0012762918671286,conventional_load,5.971794250087166,residential,lv,,
Load_mvgd_1056_lvgd_440123_1,BranchTee_mvgd_1056_lvgd_440123_2,0.0012301608357866,conventional_load,5.7559462651442335,residential,lv,,
Load_mvgd_1056_lvgd_440123_2,BranchTee_mvgd_1056_lvgd_440123_4,0.0012301608357866,conventional_load,5.7559462651442335,residential,lv,,
Load_mvgd_1056_lvgd_440123_3,BranchTee_mvgd_1056_lvgd_440123_6,0.0012301608357866,conventional_load,5.7559462651442335,residential,lv,,
Load_mvgd_1056_lvgd_97195_1,BranchTee_mvgd_1056_lvgd_97195_2,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
Load_mvgd_1056_lvgd_97195_2,BranchTee_mvgd_1056_lvgd_97195_4,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
Load_mvgd_1056_lvgd_97195_3,BranchTee_mvgd_1056_lvgd_97195_6,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
Load_mvgd_1056_lvgd_97195_4,BranchTee_mvgd_1056_lvgd_97195_8,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
Load_mvgd_1056_lvgd_97195_5,BranchTee_mvgd_1056_lvgd_97195_10,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
Load_mvgd_1056_lvgd_97195_6,BranchTee_mvgd_1056_lvgd_97195_12,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
Load_mvgd_1056_lvgd_97195_7,BranchTee_mvgd_1056_lvgd_97195_14,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
Load_mvgd_1056_lvgd_97195_8,BranchTee_mvgd_1056_lvgd_97195_16,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
Load_mvgd_1056_lvgd_97195_9,BranchTee_mvgd_1056_lvgd_97195_18,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
Load_mvgd_1056_lvgd_97195_10,BranchTee_mvgd_1056_lvgd_97195_20,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
Load_mvgd_1056_lvgd_97195_11,BranchTee_mvgd_1056_lvgd_97195_22,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
Load_mvgd_1056_lvgd_97195_12,BranchTee_mvgd_1056_lvgd_97195_24,0.0012490863871064,conventional_load,5.844499284607999,residential,lv,,
