,bus,control,p_nom,max_hours,voltage_level
StorageUnit_LVGrid_97101_1,BranchTee_mvgd_1056_lvgd_97101_48,PQ,0.01355,1,lv
StorageUnit_LVGrid_97101_2,BranchTee_mvgd_1056_lvgd_97101_12,PQ,0.0252,1,lv
StorageUnit_LVGrid_97101_3,BranchTee_mvgd_1056_lvgd_97101_34,PQ,0.0047599999999999,1,lv
StorageUnit_LVGrid_97101_4,BranchTee_mvgd_1056_lvgd_97101_22,PQ,0.00784,1,lv
StorageUnit_LVGrid_97101_5,BranchTee_mvgd_1056_lvgd_97101_20,PQ,0.003,1,lv
StorageUnit_LVGrid_97101_6,BranchTee_mvgd_1056_lvgd_97101_14,PQ,0.01311,1,lv
StorageUnit_LVGrid_97101_7,BranchTee_mvgd_1056_lvgd_97101_30,PQ,0.0011,1,lv
StorageUnit_LVGrid_97101_8,BranchTee_mvgd_1056_lvgd_97101_18,PQ,0.0168299999999999,1,lv
StorageUnit_LVGrid_97101_9,BranchTee_mvgd_1056_lvgd_97101_44,PQ,0.01197,1,lv
StorageUnit_LVGrid_97101_10,BranchTee_mvgd_1056_lvgd_97101_38,PQ,0.017,1,lv
StorageUnit_LVGrid_440123_1,BranchTee_mvgd_1056_lvgd_440123_6,PQ,0.01701,1,lv
StorageUnit_LVGrid_440123_2,BranchTee_mvgd_1056_lvgd_440123_4,PQ,0.01077,1,lv
StorageUnit_LVGrid_440123_3,BranchTee_mvgd_1056_lvgd_440123_2,PQ,0.0205,1,lv
StorageUnit_LVGrid_440123_4,BusBar_mvgd_1056_lvgd_440123_LV,PQ,0.04998,1,lv
StorageUnit_LVGrid_440123_5,BranchTee_mvgd_1056_lvgd_440123_2,PQ,0.00705,1,lv
StorageUnit_LVGrid_97195_1,BranchTee_mvgd_1056_lvgd_97195_10,PQ,0.0207,1,lv
StorageUnit_LVGrid_97195_2,BranchTee_mvgd_1056_lvgd_97195_24,PQ,0.01425,1,lv
StorageUnit_LVGrid_97221_1,BranchTee_mvgd_1056_lvgd_97221_12,PQ,0.0275,1,lv
StorageUnit_LVGrid_97221_2,BranchTee_mvgd_1056_lvgd_97221_32,PQ,0.02142,1,lv
StorageUnit_LVGrid_97221_3,BranchTee_mvgd_1056_lvgd_97221_14,PQ,0.02812,1,lv
StorageUnit_LVGrid_97221_4,BranchTee_mvgd_1056_lvgd_97221_22,PQ,0.0025499999999999,1,lv
StorageUnit_LVGrid_97221_5,BranchTee_mvgd_1056_lvgd_97221_2,PQ,0.00765,1,lv
StorageUnit_LVGrid_97239_1,BranchTee_mvgd_1056_lvgd_97239_50,PQ,0.0126,1,lv
StorageUnit_LVGrid_97239_2,BranchTee_mvgd_1056_lvgd_97239_10,PQ,0.00954,1,lv
StorageUnit_LVGrid_97239_3,BranchTee_mvgd_1056_lvgd_97239_34,PQ,0.015,1,lv
StorageUnit_LVGrid_97253_1,BranchTee_mvgd_1056_lvgd_97253_14,PQ,0.01116,1,lv
StorageUnit_LVGrid_97253_2,BranchTee_mvgd_1056_lvgd_97253_2,PQ,0.02588,1,lv
StorageUnit_LVGrid_97253_3,BranchTee_mvgd_1056_lvgd_97253_10,PQ,0.00897,1,lv
StorageUnit_LVGrid_97253_4,BranchTee_mvgd_1056_lvgd_97253_12,PQ,0.009,1,lv
StorageUnit_LVGrid_97253_5,BranchTee_mvgd_1056_lvgd_97253_6,PQ,0.00774,1,lv
StorageUnit_LVGrid_97254_1,BranchTee_mvgd_1056_lvgd_97254_2,PQ,0.01368,1,lv
StorageUnit_LVGrid_97254_2,BranchTee_mvgd_1056_lvgd_97254_34,PQ,0.00385,1,lv
StorageUnit_LVGrid_97254_3,BranchTee_mvgd_1056_lvgd_97254_46,PQ,0.0277,1,lv
StorageUnit_LVGrid_97254_4,BranchTee_mvgd_1056_lvgd_97254_14,PQ,0.0039,1,lv
StorageUnit_LVGrid_97254_5,BranchTee_mvgd_1056_lvgd_97254_30,PQ,0.0078,1,lv
StorageUnit_LVGrid_97255_1,BranchTee_mvgd_1056_lvgd_97255_46,PQ,0.021275,1,lv
StorageUnit_LVGrid_97255_2,BranchTee_mvgd_1056_lvgd_97255_40,PQ,0.00816,1,lv
StorageUnit_LVGrid_97255_3,BranchTee_mvgd_1056_lvgd_97255_2,PQ,0.0414,1,lv
StorageUnit_LVGrid_97255_4,BranchTee_mvgd_1056_lvgd_97255_30,PQ,0.00575,1,lv
StorageUnit_LVGrid_97255_5,BranchTee_mvgd_1056_lvgd_97255_20,PQ,0.0048,1,lv
StorageUnit_LVGrid_97255_6,BranchTee_mvgd_1056_lvgd_97255_74,PQ,0.0050999999999999,1,lv
StorageUnit_LVGrid_97255_7,BranchTee_mvgd_1056_lvgd_97255_44,PQ,0.02352,1,lv
StorageUnit_LVGrid_97255_8,BranchTee_mvgd_1056_lvgd_97255_6,PQ,0.007975,1,lv
StorageUnit_LVGrid_97255_9,BranchTee_mvgd_1056_lvgd_97255_42,PQ,0.0088,1,lv
StorageUnit_LVGrid_97255_10,BranchTee_mvgd_1056_lvgd_97255_10,PQ,0.01563,1,lv
StorageUnit_LVGrid_97255_11,BranchTee_mvgd_1056_lvgd_97255_14,PQ,0.01332,1,lv
StorageUnit_LVGrid_97255_12,BranchTee_mvgd_1056_lvgd_97255_24,PQ,0.00552,1,lv
StorageUnit_LVGrid_97290_1,BranchTee_mvgd_1056_lvgd_97290_14,PQ,0.01078,1,lv
StorageUnit_LVGrid_97290_2,BranchTee_mvgd_1056_lvgd_97290_30,PQ,0.0209,1,lv
StorageUnit_LVGrid_97290_3,BranchTee_mvgd_1056_lvgd_97290_2,PQ,0.0099,1,lv
StorageUnit_LVGrid_97290_4,BranchTee_mvgd_1056_lvgd_97290_34,PQ,0.0099,1,lv
StorageUnit_LVGrid_97290_5,BranchTee_mvgd_1056_lvgd_97290_46,PQ,0.00594,1,lv
StorageUnit_LVGrid_97290_6,BranchTee_mvgd_1056_lvgd_97290_52,PQ,0.0108,1,lv
StorageUnit_LVGrid_97290_7,BranchTee_mvgd_1056_lvgd_97290_22,PQ,0.00648,1,lv
StorageUnit_LVGrid_97290_8,BranchTee_mvgd_1056_lvgd_97290_44,PQ,0.01008,1,lv
StorageUnit_LVGrid_97290_9,BranchTee_mvgd_1056_lvgd_97290_56,PQ,0.00408,1,lv
StorageUnit_LVGrid_97333_1,BranchTee_mvgd_1056_lvgd_97333_18,PQ,0.01086,1,lv
StorageUnit_LVGrid_97333_2,BranchTee_mvgd_1056_lvgd_97333_24,PQ,0.00612,1,lv
StorageUnit_LVGrid_97333_3,BranchTee_mvgd_1056_lvgd_97333_12,PQ,0.01581,1,lv
StorageUnit_LVGrid_97333_4,BranchTee_mvgd_1056_lvgd_97333_2,PQ,0.009675,1,lv
StorageUnit_LVGrid_97333_5,BranchTee_mvgd_1056_lvgd_97333_14,PQ,0.00636,1,lv
StorageUnit_LVGrid_97333_6,BranchTee_mvgd_1056_lvgd_97333_6,PQ,0.02312,1,lv
StorageUnit_LVGrid_97334_1,BranchTee_mvgd_1056_lvgd_97334_16,PQ,0.0056,1,lv
StorageUnit_LVGrid_97334_2,BranchTee_mvgd_1056_lvgd_97334_32,PQ,0.01638,1,lv
StorageUnit_LVGrid_97334_3,BranchTee_mvgd_1056_lvgd_97334_14,PQ,0.01034,1,lv
StorageUnit_LVGrid_97340_1,BranchTee_mvgd_1056_lvgd_97340_14,PQ,0.0062699999999999,1,lv
StorageUnit_LVGrid_97340_2,BranchTee_mvgd_1056_lvgd_97340_30,PQ,0.01075,1,lv
StorageUnit_LVGrid_97340_3,BranchTee_mvgd_1056_lvgd_97340_2,PQ,0.012685,1,lv
StorageUnit_LVGrid_97340_4,BranchTee_mvgd_1056_lvgd_97340_34,PQ,0.00496,1,lv
StorageUnit_LVGrid_97340_5,BranchTee_mvgd_1056_lvgd_97340_46,PQ,0.0099,1,lv
StorageUnit_LVGrid_97341_1,BranchTee_mvgd_1056_lvgd_97341_10,PQ,0.0084,1,lv
StorageUnit_LVGrid_97341_2,BranchTee_mvgd_1056_lvgd_97341_32,PQ,0.00517,1,lv
StorageUnit_LVGrid_97341_3,BranchTee_mvgd_1056_lvgd_97341_28,PQ,0.0094,1,lv
